"src","dst","label"
27394,6643,TRUE
26563,2974,TRUE
28382,5557,TRUE
29730,3302,TRUE
8282,2473,TRUE
119154,7272,TRUE
95300,28266,TRUE
28686,4932,TRUE
187902,5331,TRUE
128612,4932,TRUE
12286,26706,TRUE
47773,2473,TRUE
55188,28083,TRUE
2952,4932,TRUE
21667,15644,TRUE
177363,4705,TRUE
2183,412,TRUE
7801,5909,TRUE
92136,15410,TRUE
34908,2974,TRUE
143625,5420,TRUE
95300,68786,TRUE
131757,6939,TRUE
83612,412,TRUE
2183,6401,TRUE
76535,2974,TRUE
8797,1784,TRUE
10636,4749,TRUE
2183,11739,TRUE
76535,81487,TRUE
12516,4799,TRUE
28779,8638,TRUE
123379,1582,TRUE
123379,3512,TRUE
134151,2166,TRUE
125128,4932,TRUE
83612,1582,TRUE
25267,4799,TRUE
2183,26706,TRUE
95300,27523,TRUE
65260,1582,TRUE
2183,7056,TRUE
5009,1034,TRUE
83612,1034,TRUE
12286,7056,TRUE
3331,3302,TRUE
111274,4799,TRUE
143698,2974,TRUE
78530,8638,TRUE
6278,7272,TRUE
2183,9825,TRUE
11346,9837,TRUE
2183,78713,TRUE
5743,9025,TRUE
83612,1449,TRUE
46090,6043,TRUE
95300,134382,TRUE
11163,80148,TRUE
2183,2473,TRUE
5747,25808,TRUE
2195,68786,TRUE
16322,1923,TRUE
43055,26730,TRUE
12286,12171,TRUE
4734,4932,TRUE
5743,573,TRUE
2195,412,TRUE
111274,80148,TRUE
65211,8953,TRUE
2183,1442,TRUE
83612,26706,TRUE
214822,17340,TRUE
5743,4519,TRUE
30772,1442,TRUE
2183,5390,TRUE
35886,4175,TRUE
26926,1429,TRUE
2183,103480,TRUE
193695,10040,TRUE
49910,1034,TRUE
26595,9515,TRUE
15605,9837,TRUE
12286,29350,TRUE
197001,10040,TRUE
83612,1913,TRUE
163807,1034,TRUE
95300,18752,TRUE
5699,4175,TRUE
83612,28775,TRUE
26563,80148,TRUE
65260,412,TRUE
146464,5420,TRUE
19698,7056,TRUE
2249,3302,TRUE
171290,4932,TRUE
62221,1134,TRUE
136127,6878,TRUE
6265,80148,TRUE
138146,2974,TRUE
28128,1219,TRUE
27394,4175,FALSE
27394,4799,FALSE
27394,1442,FALSE
27394,9515,FALSE
27394,11739,FALSE
26563,1442,FALSE
26563,15644,FALSE
26563,573,FALSE
26563,4749,FALSE
26563,134382,FALSE
28382,1913,FALSE
28382,18752,FALSE
28382,3512,FALSE
28382,28775,FALSE
28382,25808,FALSE
29730,4932,FALSE
29730,8953,FALSE
29730,28266,FALSE
29730,6401,FALSE
29730,103480,FALSE
8282,7056,FALSE
8282,29350,FALSE
8282,8953,FALSE
8282,1429,FALSE
8282,1923,FALSE
119154,2473,FALSE
119154,4519,FALSE
119154,1913,FALSE
119154,5909,FALSE
119154,5420,FALSE
95300,1034,FALSE
95300,412,FALSE
95300,26706,FALSE
95300,6401,FALSE
95300,11739,FALSE
28686,1784,FALSE
28686,78713,FALSE
28686,68786,FALSE
28686,27523,FALSE
28686,9825,FALSE
187902,5420,FALSE
187902,11739,FALSE
187902,1134,FALSE
187902,6043,FALSE
187902,1913,FALSE
128612,8638,FALSE
128612,1913,FALSE
128612,1923,FALSE
128612,12171,FALSE
128612,15644,FALSE
12286,4799,FALSE
12286,18752,FALSE
12286,1134,FALSE
12286,80148,FALSE
12286,1784,FALSE
47773,1429,FALSE
47773,7056,FALSE
47773,1034,FALSE
47773,7272,FALSE
47773,3512,FALSE
55188,11739,FALSE
55188,17340,FALSE
55188,5420,FALSE
55188,6043,FALSE
55188,4519,FALSE
2952,78713,FALSE
2952,6401,FALSE
2952,9825,FALSE
2952,15410,FALSE
2952,1784,FALSE
21667,1449,FALSE
21667,5557,FALSE
21667,27523,FALSE
21667,1219,FALSE
21667,25808,FALSE
177363,3302,FALSE
177363,4932,FALSE
177363,29350,FALSE
177363,17340,FALSE
177363,9515,FALSE
2183,9025,FALSE
2183,3512,FALSE
2183,6043,FALSE
2183,81487,FALSE
2183,9837,FALSE
7801,80148,FALSE
7801,6401,FALSE
7801,26706,FALSE
7801,68786,FALSE
7801,6043,FALSE
92136,9825,FALSE
92136,1913,FALSE
92136,6401,FALSE
92136,6043,FALSE
92136,68786,FALSE
34908,15410,FALSE
34908,4749,FALSE
34908,3512,FALSE
34908,1923,FALSE
34908,4799,FALSE
143625,81487,FALSE
143625,9025,FALSE
143625,3302,FALSE
143625,7272,FALSE
143625,80148,FALSE
95300,80148,FALSE
95300,4175,FALSE
95300,5331,FALSE
95300,1442,FALSE
95300,15410,FALSE
131757,2473,FALSE
131757,7056,FALSE
131757,103480,FALSE
131757,6878,FALSE
131757,7272,FALSE
83612,4175,FALSE
83612,1442,FALSE
83612,4932,FALSE
83612,15410,FALSE
83612,8953,FALSE
2183,17340,FALSE
2183,4519,FALSE
2183,1219,FALSE
2183,8953,FALSE
76535,2473,FALSE
76535,2166,FALSE
76535,103480,FALSE
76535,9515,FALSE
76535,12171,FALSE
8797,6878,FALSE
8797,5331,FALSE
8797,2166,FALSE
8797,12171,FALSE
8797,1923,FALSE
10636,1913,FALSE
10636,134382,FALSE
10636,9825,FALSE
10636,15410,FALSE
10636,81487,FALSE
2183,4932,FALSE
2183,6939,FALSE
2183,28775,FALSE
2183,8638,FALSE
2183,3302,FALSE
76535,9025,FALSE
76535,1219,FALSE
76535,4799,FALSE
76535,1784,FALSE
76535,6939,FALSE
12516,11739,FALSE
12516,1134,FALSE
12516,15644,FALSE
12516,5331,FALSE
12516,5557,FALSE
28779,9515,FALSE
28779,1913,FALSE
28779,28083,FALSE
28779,4175,FALSE
28779,1923,FALSE
123379,5557,FALSE
123379,5420,FALSE
123379,78713,FALSE
123379,1442,FALSE
123379,28266,FALSE
123379,8638,FALSE
123379,1034,FALSE
123379,9025,FALSE
123379,1219,FALSE
123379,28083,FALSE
134151,10040,FALSE
134151,9025,FALSE
134151,4519,FALSE
134151,7056,FALSE
134151,80148,FALSE
125128,81487,FALSE
125128,6401,FALSE
125128,2473,FALSE
125128,5331,FALSE
125128,1923,FALSE
83612,9837,FALSE
83612,9825,FALSE
83612,1923,FALSE
25267,1784,FALSE
25267,4932,FALSE
25267,4519,FALSE
25267,25808,FALSE
25267,6643,FALSE
2183,4799,FALSE
2183,10040,FALSE
2183,573,FALSE
2183,4749,FALSE
95300,9837,FALSE
95300,1913,FALSE
95300,1134,FALSE
95300,4749,FALSE
65260,25808,FALSE
65260,7272,FALSE
65260,6043,FALSE
65260,1134,FALSE
65260,103480,FALSE
2183,1134,FALSE
2183,27523,FALSE
2183,26730,FALSE
5009,9515,FALSE
5009,1913,FALSE
5009,26730,FALSE
5009,68786,FALSE
5009,5557,FALSE
83612,4799,FALSE
83612,5390,FALSE
83612,25808,FALSE
83612,11739,FALSE
12286,81487,FALSE
12286,5420,FALSE
12286,27523,FALSE
12286,573,FALSE
12286,17340,FALSE
3331,4749,FALSE
3331,9837,FALSE
3331,8953,FALSE
3331,81487,FALSE
3331,28266,FALSE
111274,1582,FALSE
111274,6401,FALSE
111274,11739,FALSE
111274,8638,FALSE
111274,5331,FALSE
143698,15410,FALSE
143698,1449,FALSE
143698,25808,FALSE
143698,1442,FALSE
143698,1134,FALSE
78530,134382,FALSE
78530,4799,FALSE
78530,5909,FALSE
78530,8953,FALSE
78530,1784,FALSE
6278,1784,FALSE
6278,3512,FALSE
6278,9515,FALSE
6278,80148,FALSE
6278,1429,FALSE
2183,9515,FALSE
2183,5331,FALSE
2183,4175,FALSE
11346,103480,FALSE
11346,8953,FALSE
11346,6643,FALSE
11346,26706,FALSE
11346,9825,FALSE
2183,1923,FALSE
2183,28083,FALSE
5743,9837,FALSE
5743,11739,FALSE
5743,8638,FALSE
5743,15410,FALSE
5743,1913,FALSE
83612,6643,FALSE
83612,80148,FALSE
83612,9025,FALSE
83612,1219,FALSE
83612,3512,FALSE
46090,1913,FALSE
46090,9825,FALSE
46090,6643,FALSE
46090,25808,FALSE
46090,7056,FALSE
95300,6939,FALSE
95300,1923,FALSE
11163,28775,FALSE
11163,4749,FALSE
11163,5909,FALSE
11163,6401,FALSE
11163,4799,FALSE
2183,15410,FALSE
2183,2166,FALSE
2183,1913,FALSE
5747,7056,FALSE
5747,68786,FALSE
5747,1429,FALSE
5747,1449,FALSE
5747,28266,FALSE
2195,1449,FALSE
2195,5909,FALSE
2195,26730,FALSE
2195,6939,FALSE
2195,10040,FALSE
16322,2166,FALSE
16322,4932,FALSE
16322,134382,FALSE
16322,1429,FALSE
16322,3512,FALSE
43055,11739,FALSE
43055,78713,FALSE
43055,27523,FALSE
43055,25808,FALSE
43055,9825,FALSE
12286,4932,FALSE
12286,68786,FALSE
12286,1582,FALSE
12286,10040,FALSE
4734,4519,FALSE
4734,8638,FALSE
4734,573,FALSE
4734,412,FALSE
4734,5390,FALSE
5743,15644,FALSE
5743,28083,FALSE
5743,5909,FALSE
5743,28775,FALSE
5743,1219,FALSE
2195,2166,FALSE
2195,4799,FALSE
2195,1219,FALSE
111274,1034,FALSE
111274,15410,FALSE
111274,26730,FALSE
111274,5557,FALSE
111274,4932,FALSE
65211,4799,FALSE
65211,68786,FALSE
65211,2974,FALSE
65211,78713,FALSE
65211,1134,FALSE
2183,68786,FALSE
2183,134382,FALSE
83612,3302,FALSE
83612,10040,FALSE
83612,6401,FALSE
83612,1784,FALSE
214822,6401,FALSE
214822,1449,FALSE
214822,1913,FALSE
214822,1784,FALSE
214822,1442,FALSE
5743,3302,FALSE
5743,412,FALSE
5743,6043,FALSE
30772,5420,FALSE
30772,9837,FALSE
30772,15644,FALSE
30772,3512,FALSE
30772,8638,FALSE
2183,1582,FALSE
2183,80148,FALSE
35886,27523,FALSE
35886,9025,FALSE
35886,4932,FALSE
35886,5420,FALSE
35886,29350,FALSE
26926,12171,FALSE
26926,2473,FALSE
26926,1034,FALSE
26926,18752,FALSE
26926,2974,FALSE
2183,28266,FALSE
2183,5909,FALSE
193695,4519,FALSE
193695,5909,FALSE
193695,412,FALSE
193695,80148,FALSE
193695,4799,FALSE
49910,103480,FALSE
49910,6043,FALSE
49910,1449,FALSE
49910,1219,FALSE
49910,7272,FALSE
26595,1784,FALSE
26595,1219,FALSE
26595,1442,FALSE
26595,26706,FALSE
26595,10040,FALSE
15605,12171,FALSE
15605,5420,FALSE
15605,1913,FALSE
15605,25808,FALSE
15605,28266,FALSE
12286,15644,FALSE
12286,9025,FALSE
12286,4749,FALSE
12286,26730,FALSE
197001,6878,FALSE
197001,11739,FALSE
197001,5390,FALSE
197001,1219,FALSE
197001,80148,FALSE
83612,8638,FALSE
83612,1429,FALSE
163807,4799,FALSE
163807,29350,FALSE
163807,1449,FALSE
163807,1134,FALSE
163807,12171,FALSE
95300,103480,FALSE
95300,1582,FALSE
5699,8953,FALSE
5699,29350,FALSE
5699,4749,FALSE
5699,412,FALSE
5699,18752,FALSE
83612,29350,FALSE
83612,6939,FALSE
26563,2166,FALSE
26563,1034,FALSE
26563,1219,FALSE
26563,3302,FALSE
26563,4799,FALSE
65260,4749,FALSE
65260,1034,FALSE
65260,18752,FALSE
65260,1442,FALSE
65260,8953,FALSE
146464,12171,FALSE
146464,9837,FALSE
146464,573,FALSE
146464,28083,FALSE
146464,9825,FALSE
19698,6878,FALSE
19698,26706,FALSE
19698,2974,FALSE
19698,103480,FALSE
19698,4932,FALSE
2249,5557,FALSE
2249,10040,FALSE
2249,9837,FALSE
2249,1582,FALSE
2249,1449,FALSE
171290,7056,FALSE
171290,18752,FALSE
171290,1134,FALSE
171290,1034,FALSE
171290,2166,FALSE
62221,5390,FALSE
62221,28266,FALSE
62221,2974,FALSE
62221,1582,FALSE
62221,15644,FALSE
136127,573,FALSE
136127,1442,FALSE
136127,1582,FALSE
136127,5420,FALSE
136127,12171,FALSE
6265,26706,FALSE
6265,5331,FALSE
6265,28775,FALSE
6265,6939,FALSE
6265,17340,FALSE
138146,80148,FALSE
138146,7272,FALSE
138146,9515,FALSE
138146,1134,FALSE
138146,17340,FALSE
28128,2166,FALSE
28128,4749,FALSE
28128,9515,FALSE
28128,573,FALSE
28128,12171,FALSE
