"src","dst","label"
148568,148569,TRUE
1576917,923198,TRUE
2555105,2555103,TRUE
1666407,53440,TRUE
2378367,1427482,TRUE
1044434,122182,TRUE
3562603,346299,TRUE
2365220,2365221,TRUE
3718822,166190,TRUE
728722,728723,TRUE
3895487,132806,TRUE
3320753,786313,TRUE
95451,95450,TRUE
3469834,1832901,TRUE
3097248,1050087,TRUE
4206131,952386,TRUE
351186,351187,TRUE
911862,884641,TRUE
912959,212857,TRUE
2096305,10172,TRUE
2220564,1413301,TRUE
3977215,3476910,TRUE
4680015,49366,TRUE
2564615,746070,TRUE
4273370,2077937,TRUE
2507881,245593,TRUE
2245363,345911,TRUE
122181,122182,TRUE
2334276,8079,TRUE
4600907,1725985,TRUE
1823099,291737,TRUE
2888319,940065,TRUE
746072,746070,TRUE
2401889,53440,TRUE
3172739,549406,TRUE
3478584,1805259,TRUE
3085593,421527,TRUE
3744536,34005,TRUE
4127233,48636,TRUE
4554833,25328,TRUE
514487,279840,TRUE
2249447,138678,TRUE
543710,170436,TRUE
2005711,34517,TRUE
783023,1296649,TRUE
469852,107665,TRUE
1852026,353928,TRUE
2733777,40387,TRUE
3326800,16759,TRUE
518785,1160,TRUE
473414,8389,TRUE
311786,311785,TRUE
274182,274181,TRUE
2203926,1511572,TRUE
4621622,331371,TRUE
469849,107665,TRUE
2004527,122500,TRUE
1781667,34517,TRUE
2527827,40387,TRUE
1618736,34517,TRUE
2741930,698809,TRUE
2495465,2495466,TRUE
2747249,1449474,TRUE
469851,107665,TRUE
1916568,353928,TRUE
3467826,331371,TRUE
308,309,TRUE
3567320,138678,TRUE
2527829,40387,TRUE
3138188,83230,TRUE
3511947,83230,TRUE
4005939,83238,TRUE
1400154,698809,TRUE
652384,652382,TRUE
3596441,1907084,TRUE
2222315,410862,TRUE
3014803,1406544,TRUE
40389,40387,TRUE
274183,274181,TRUE
283565,83232,TRUE
1257594,138678,TRUE
2203925,1511572,TRUE
1065886,1160,TRUE
4032109,94866,TRUE
677220,274181,TRUE
1366959,107665,TRUE
473713,473714,TRUE
383416,383417,TRUE
1998056,353928,TRUE
40386,40387,TRUE
1366961,107665,TRUE
1257596,138678,TRUE
3326798,16759,TRUE
148568,2495466,FALSE
148568,345911,FALSE
148568,1511572,FALSE
148568,652382,FALSE
148568,2077937,FALSE
1576917,274181,FALSE
1576917,95450,FALSE
1576917,311785,FALSE
1576917,746070,FALSE
1576917,107665,FALSE
2555105,1907084,FALSE
2555105,410862,FALSE
2555105,291737,FALSE
2555105,83232,FALSE
2555105,40387,FALSE
1666407,2365221,FALSE
1666407,274181,FALSE
1666407,383417,FALSE
1666407,3476910,FALSE
1666407,83230,FALSE
2378367,1805259,FALSE
2378367,1907084,FALSE
2378367,274181,FALSE
