"src","dst","label"
8282,26781,TRUE
104437,54903,TRUE
8610,54903,TRUE
65260,54903,TRUE
63610,54903,TRUE
4481,26781,TRUE
168066,54903,TRUE
72657,54903,TRUE
111030,54903,TRUE
2195,54903,TRUE
8054,54903,TRUE
83612,54903,TRUE
111274,54903,TRUE
94417,54903,TRUE
86731,76964,TRUE
3921,54903,TRUE
124985,54903,TRUE
2183,54903,TRUE
150106,54903,TRUE
84514,54903,TRUE
52723,54903,TRUE
123234,54903,TRUE
20417,54903,TRUE
118313,54903,TRUE
16173,8152,TRUE
38633,10740,TRUE
89617,54903,TRUE
94815,54903,TRUE
92136,54903,TRUE
165355,54903,TRUE
168067,54903,TRUE
63955,54903,TRUE
114928,54903,TRUE
27050,54903,TRUE
94655,54903,TRUE
165984,54903,TRUE
86731,8152,TRUE
2195,8152,TRUE
30286,164,TRUE
8969,54903,TRUE
4356,54903,TRUE
55483,54903,TRUE
26563,54903,TRUE
60642,54903,TRUE
104437,8152,TRUE
34100,54903,TRUE
139926,54903,TRUE
92197,54903,TRUE
35738,26781,TRUE
184949,54903,TRUE
55483,76964,TRUE
109958,54903,TRUE
182078,54903,TRUE
138948,54903,TRUE
8610,8152,TRUE
10913,54903,TRUE
76535,54903,TRUE
45824,75716,TRUE
2256,4381,TRUE
126234,54903,TRUE
139709,54903,TRUE
65260,8152,TRUE
175377,54903,TRUE
92197,164,TRUE
4895,4381,TRUE
72657,8152,TRUE
168127,54903,TRUE
83612,8152,TRUE
52723,4510,TRUE
189881,54903,TRUE
15282,8152,TRUE
2257,4381,TRUE
79579,54903,TRUE
121446,54903,TRUE
62221,8152,TRUE
111030,4381,TRUE
2249,4381,TRUE
177212,54903,TRUE
83612,164,TRUE
3921,8152,TRUE
190965,54903,TRUE
34236,54903,TRUE
46197,54903,TRUE
98106,54903,TRUE
966,54903,TRUE
26329,54903,TRUE
60642,8152,TRUE
3921,75716,TRUE
150880,54903,TRUE
63610,8152,TRUE
2183,4510,TRUE
114645,54903,TRUE
107314,54903,TRUE
112424,54903,TRUE
5869,54903,TRUE
24985,54903,TRUE
108216,54903,TRUE
8969,958,TRUE
106303,54903,TRUE
8282,4510,FALSE
8282,10740,FALSE
8282,75716,FALSE
8282,4381,FALSE
8282,76964,FALSE
104437,4381,FALSE
104437,76964,FALSE
104437,75716,FALSE
104437,4510,FALSE
104437,10740,FALSE
8610,958,FALSE
8610,4510,FALSE
8610,10740,FALSE
8610,75716,FALSE
8610,4381,FALSE
65260,26781,FALSE
65260,4381,FALSE
65260,958,FALSE
65260,76964,FALSE
65260,164,FALSE
63610,164,FALSE
63610,4510,FALSE
63610,75716,FALSE
63610,4381,FALSE
63610,10740,FALSE
4481,54903,FALSE
4481,4381,FALSE
4481,4510,FALSE
4481,76964,FALSE
4481,75716,FALSE
168066,164,FALSE
168066,76964,FALSE
168066,4510,FALSE
168066,4381,FALSE
168066,75716,FALSE
72657,10740,FALSE
72657,164,FALSE
72657,76964,FALSE
72657,958,FALSE
72657,75716,FALSE
111030,8152,FALSE
111030,958,FALSE
111030,75716,FALSE
111030,10740,FALSE
111030,164,FALSE
2195,164,FALSE
2195,4510,FALSE
2195,75716,FALSE
2195,958,FALSE
2195,26781,FALSE
8054,10740,FALSE
8054,4510,FALSE
8054,4381,FALSE
8054,164,FALSE
8054,76964,FALSE
83612,4510,FALSE
83612,10740,FALSE
83612,958,FALSE
83612,26781,FALSE
83612,76964,FALSE
111274,10740,FALSE
111274,4381,FALSE
111274,76964,FALSE
111274,958,FALSE
111274,164,FALSE
94417,164,FALSE
94417,8152,FALSE
94417,10740,FALSE
94417,76964,FALSE
94417,75716,FALSE
86731,75716,FALSE
