"","x"
"1","label"
"2","10,-10,"
"3","10,54,"
"4","10,-62,"
"5","10,8,"
"6","169,-169,"
"7","169,19,"
"8","-19,-169,"
"9","-19,19,"
"10","-27,-38,"
"11","31,-31,"
"12","31,33,"
"13","-33,-31,"
"14","-33,33,"
"15","62,-10,"
"16","62,54,"
"17","62,-62,"
"18","62,8,"
"19","-8,-10,"
"20","-8,54,"
"21","85,-85,"
"22","-8,-62,"
"23","-8,8,"
"24","-170,-55,"
"25","-185,170,"
"26","-185,185,"
"27","65,-55,"
"28","-170,170,"
"29","-170,185,"
"30","-185,-55,"
"31","-185,-65,"
"32","65,170,"
"33","65,185,"
"34","-170,-65,"
"35","38,-38,"
"36","55,170,"
"37","55,185,"
"38","65,-65,"
"39","165,-38,"
"40","-185,54,"
"41","-185,-62,"
"42","38,-165,"
"43","38,27,"
"44","38,80,"
"45","55,-55,"
"46","55,-65,"
"47","-80,-38,"
"48","104,-104,"
"49","104,114,"
"50","104,-145,"
"51","104,75,"
"52","-114,-104,"
"53","-114,114,"
"54","-114,-145,"
"55","-114,75,"
"56","165,-165,"
"57","165,27,"
"58","165,80,"
"59","-170,54,"
"60","-170,-62,"
"61","-185,-129,"
"62","-185,20,"
"63","-27,27,"
"64","-283,283,"
"65","-4,-4,"
"66","-4,4,"
"67","4,-4,"
"68","4,4,"
"69","44,-44,"
"70","-54,170,"
"71","-54,185,"
"72","-54,54,"
"73","-54,-55,"
"74","-54,-62,"
"75","-54,-65,"
"76","55,-129,"
"77","55,20,"
"78","55,54,"
"79","55,-62,"
"80","62,170,"
"81","62,185,"
"82","62,-55,"
"83","62,-65,"
"84","65,54,"
"85","65,-62,"
"86","79,283,"
"87","-80,-165,"
"88","-80,27,"
"89","-80,80,"
"90","-92,-44,"
"91","120,-120,"
"92","129,-129,"
"93","129,2,"
"94","129,20,"
"95","129,-62,"
"96","-20,-129,"
"97","-20,2,"
"98","-20,20,"
"99","-20,-62,"
"100","-2,-129,"
"101","-2,2,"
"102","-2,20,"
"103","226,-129,"
"104","226,2,"
"105","226,20,"
"106","226,-62,"
"107","-2,-62,"
"108","-4,"
"109","4,"
"110","-48,48,"
"111","-48,-81,"
"112","-54,-129,"
"113","-54,2,"
"114","-54,20,"
"115","62,-129,"
"116","62,2,"
"117","62,20,"
"118","74,-74,"
"119","81,48,"
"120","81,-81,"
"121","129,-226,"
"122","129,54,"
"123","-20,-226,"
"124","-20,54,"
"125","-2,-226,"
"126","226,-226,"
"127","226,54,"
"128","-2,54,"
"129","-54,-226,"
"130","62,-226,"
"131","23,39,"
"132","23,-23,"
"133","270,157,"
"134","-39,39,"
"135","-70,157,"
"136","-87,157,"
"137","-92,92,"
"138","270,-270,"
"139","270,-64,"
"140","270,-68,"
"141","270,70,"
"142","270,87,"
"143","-39,-23,"
"144","44,92,"
"145","64,157,"
"146","64,-64,"
"147","-70,-270,"
"148","-70,-68,"
"149","-70,70,"
"150","-70,87,"
"151","-87,-270,"
"152","-87,-68,"
"153","-87,70,"
"154","-87,87,"
"155","-54,-10,"
"156","-158,158,"
"157","-158,54,"
"158","-158,-62,"
"159","168,158,"
"160","168,54,"
"161","168,-62,"
"162","-173,158,"
"163","-173,54,"
"164","-173,-62,"
"165","204,158,"
"166","204,54,"
"167","204,-62,"
"168","-27,-165,"
"169","-27,80,"
"170","-54,158,"
"171","62,158,"
"172","129,-156,"
"173","129,228,"
"174","-20,-156,"
"175","-20,228,"
"176","10,-129,"
"177","10,20,"
"178","129,-10,"
"179","129,8,"
"180","-20,-10,"
"181","-20,8,"
"182","-287,163,"
"183","-287,-434,"
"184","323,163,"
"185","323,-434,"
"186","-54,8,"
"187","-8,-129,"
"188","-8,20,"
"189","-76,-4,"
"190","-76,4,"
"191","76,-4,"
"192","76,4,"
"193","64,-68,"
"194","64,70,"
